,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
147,147,8.246975300000031,93.0,29763.0,200,0.2,1000
148,148,8.310341499999993,93.0,29964.0,200,0.2,1000
149,149,8.369914300000005,93.0,30165.0,200,0.2,1000
150,150,8.426784999999995,93.0,30366.0,200,0.2,1000
151,151,8.482387800000026,93.0,30567.0,200,0.2,1000
152,152,8.537521200000015,93.0,30768.0,200,0.2,1000
153,153,8.596414299999992,93.0,30969.0,200,0.2,1000
154,154,8.650947200000019,93.0,31170.0,200,0.2,1000
155,155,8.708594400000038,93.0,31371.0,200,0.2,1000
156,156,8.764411800000005,93.0,31572.0,200,0.2,1000
157,157,8.821304300000008,93.0,31773.0,200,0.2,1000
158,158,8.877951499999995,93.0,31974.0,200,0.2,1000
159,159,8.941000000000031,93.0,32175.0,200,0.2,1000
160,160,8.998624600000028,93.0,32376.0,200,0.2,1000
161,161,9.054191900000035,93.0,32577.0,200,0.2,1000
162,162,9.107739100000003,93.0,32778.0,200,0.2,1000
163,163,9.160323000000005,93.0,32979.0,200,0.2,1000
