,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
32,32,1.7065929000000324,36.70789075292141,6646.0,True,200,0.25,1000
33,33,1.788675000000012,36.70789075292141,6847.0,True,200,0.25,1000
34,34,1.8705361000002085,36.70789075292141,7048.0,True,200,0.25,1000
35,35,1.9529273000000558,36.70789075292141,7249.0,True,200,0.25,1000
36,36,2.038789000000179,36.70789075292141,7450.0,True,200,0.25,1000
37,37,2.137152500000184,36.70789075292141,7651.0,True,200,0.25,1000
38,38,2.2192701999999827,36.70789075292141,7852.0,True,200,0.25,1000
39,39,2.3004832000001443,36.70789075292141,8053.0,True,200,0.25,1000
40,40,2.383530700000165,36.70789075292141,8254.0,True,200,0.25,1000
41,41,2.4688048000000435,36.70789075292141,8455.0,True,200,0.25,1000
42,42,2.549818200000118,36.70789075292141,8656.0,True,200,0.25,1000
43,43,2.6350987000000714,36.70789075292141,8857.0,True,200,0.25,1000
44,44,2.7234431000001678,36.70789075292141,9058.0,True,200,0.25,1000
45,45,2.803035500000078,36.70789075292141,9259.0,True,200,0.25,1000
46,46,2.88555180000003,36.70789075292141,9460.0,True,200,0.25,1000
47,47,2.9763374999999996,36.70789075292141,9661.0,True,200,0.25,1000
48,48,3.0566191000000345,36.70789075292141,9862.0,True,200,0.25,1000
49,49,3.1366041000001132,36.70789075292141,10063.0,True,200,0.25,1000
50,50,3.21690690000014,36.70789075292141,10264.0,True,200,0.25,1000
51,51,3.299443900000142,36.70789075292141,10465.0,True,200,0.25,1000
52,52,3.382115300000123,36.70789075292141,10666.0,True,200,0.25,1000
53,53,3.464960200000178,36.70789075292141,10867.0,True,200,0.25,1000
54,54,3.548086900000044,36.70789075292141,11068.0,True,200,0.25,1000
55,55,3.657929200000126,36.70789075292141,11269.0,True,200,0.25,1000
56,56,3.7454640000000836,36.70789075292141,11470.0,True,200,0.25,1000
57,57,3.8255345000000034,36.70789075292141,11671.0,True,200,0.25,1000
58,58,3.908471899999995,36.70789075292141,11872.0,True,200,0.25,1000
59,59,3.9897880000000896,36.70789075292141,12073.0,True,200,0.25,1000
60,60,4.079826900000171,36.70789075292141,12274.0,True,200,0.25,1000
61,61,4.1935311000002,36.70789075292141,12475.0,True,200,0.25,1000
62,62,4.291715300000078,36.70789075292141,12676.0,True,200,0.25,1000
63,63,4.385635000000093,36.70789075292141,12877.0,True,200,0.25,1000
64,64,4.468237200000203,36.70789075292141,13078.0,True,200,0.25,1000
65,65,4.563017200000104,36.70789075292141,13279.0,True,200,0.25,1000
66,66,4.646629100000155,36.70789075292141,13480.0,True,200,0.25,1000
67,67,4.735621200000196,36.70789075292141,13681.0,True,200,0.25,1000
68,68,4.815864900000179,36.70789075292141,13882.0,True,200,0.25,1000
69,69,4.899375400000054,36.70789075292141,14083.0,True,200,0.25,1000
70,70,4.991350100000091,36.70789075292141,14284.0,True,200,0.25,1000
71,71,5.077672300000131,36.70789075292141,14485.0,True,200,0.25,1000
72,72,5.157076599999982,36.70789075292141,14686.0,True,200,0.25,1000
73,73,5.2389645000000655,36.70789075292141,14887.0,True,200,0.25,1000
74,74,5.337532900000042,36.70789075292141,15088.0,True,200,0.25,1000
75,75,5.42230480000012,36.70789075292141,15289.0,True,200,0.25,1000
76,76,5.506319200000007,36.70789075292141,15490.0,True,200,0.25,1000
77,77,5.589479500000152,36.70789075292141,15691.0,True,200,0.25,1000
78,78,5.673887100000002,36.70789075292141,15892.0,True,200,0.25,1000
79,79,5.764309600000161,36.70789075292141,16093.0,True,200,0.25,1000
80,80,5.859748500000023,36.70789075292141,16294.0,True,200,0.25,1000
81,81,5.942773100000068,36.70789075292141,16495.0,True,200,0.25,1000
82,82,6.034516200000098,36.70789075292141,16696.0,True,200,0.25,1000
83,83,6.118200500000057,36.70789075292141,16897.0,True,200,0.25,1000
84,84,6.200056700000005,36.70789075292141,17098.0,True,200,0.25,1000
85,85,6.28409610000017,36.70789075292141,17299.0,True,200,0.25,1000
